,Team,Conference,MP,GF,GA,ATT,DEF,STR,MAX
0,VMI,SoCon,18,20,35,0.6494490226478669,1.0422235996504507,0.7734642155238857,22.01860223169878
1,George Washington,Atlantic 10,17,15,47,0.6259144895391451,1.7060508684875275,0.6100082912585909,10.327589892221496
2,Delaware,CAA,16,33,31,1.4889288329147186,1.245039864045622,1.2146321533107431,53.572673016412374
3,Boston U.,Patriot,18,20,24,0.6625013449898739,0.9093560097254185,0.8373725356921056,26.58957733119574
4,Villanova,Big East,17,23,38,0.9167806238334419,1.4235880991188035,0.8310485259658447,26.13725921500013
5,LIU,NEC,20,27,26,0.9637248304058079,1.0435172106532993,0.9615539234750647,35.47151993088797
6,Robert Morris,Horizon,19,34,24,1.2818099985849565,0.9148622104096864,1.2063103105812987,52.97746200479301
7,Le Moyne,NEC,17,28,22,1.1091299074520613,1.115950004111956,1.0239169413134919,39.93196891340855
8,St. Thomas (MN),Summit League,16,14,41,0.8046604056003059,1.7734867149673983,0.7083406450318663,17.360707636350238
9,Louisville,ACC,17,32,28,1.4519407171697045,0.987349766992248,1.2762893549964578,57.982639244099474
10,Ga. Southern,Sun Belt,17,29,28,1.2515753255287303,1.0598186018669047,1.1283682744134034,47.40274019095466
11,Siena,MAAC,18,26,18,0.9552992044514912,0.6914964633898435,1.151635120316508,49.06687676952508
12,Boston College,ACC,17,23,19,0.915993890983906,0.674975682862573,1.1422102763305841,48.39277475803574
13,Western Mich.,MVC,21,44,20,1.4329886985300857,0.6599538972873877,1.4658961630420473,71.54406592516678
14,St. Bonaventure,Atlantic 10,17,23,33,0.9480114218551874,1.351956830101543,0.8646742884438372,28.542306360409782
15,Milwaukee,Horizon,19,30,22,1.1154522276384466,0.8209342358891953,1.1565210851171144,49.416340241289056
16,FDU,NEC,19,32,24,1.0908710338264043,1.1303851250167103,1.0083843185326156,38.821014474700405
17,NC State,ACC,20,36,21,1.3134769521535368,0.6293817248167073,1.4236305225623955,68.52106063120429
18,UMass Lowell,America East,16,21,22,0.9935727298311269,0.785868272082906,1.105134793553579,45.740990011864405
19,Eastern Ill.,OVC,16,12,43,0.46783398975868606,1.9271794934618167,0.4882576044612019,1.619500613194216
20,Temple,The American,17,11,20,0.41402548603801703,0.6473294134637977,0.8663387038460217,28.661351914080708
21,Niagara,MAAC,16,18,37,0.7190183391846205,1.7985914929817868,0.6538072516642993,13.46026427438908
22,Sacred Heart,MAAC,16,27,21,1.0552173428086367,0.9912973730866343,1.0366420166909767,40.84211648944559
23,Marquette,Big East,17,21,21,0.8082876701697554,0.8023173017793024,0.9835284715975232,37.043226275634055
24,Xavier,Big East,17,14,19,0.48904271272587985,0.6967227683546499,0.8675420741880391,28.74742170678306
25,UNC Greensboro,SoCon,17,31,15,1.0776143065178179,0.49767755326111857,1.4503018392663534,70.42869838797345
26,Oakland,Horizon,17,22,21,0.9182728398764481,0.9663534238622518,0.9648909381269015,35.710196379276105
27,Rutgers,Big Ten,17,21,27,0.8475568414778776,1.0713949657738562,0.881879148291037,29.772865789055075
28,Clemson,ACC,22,54,25,1.7949120141904726,0.7150402236702363,1.6363562973440509,83.73604698961086
29,Hofstra,CAA,21,42,23,1.6254689371998112,0.7096570993922443,1.5389338648349224,76.76801040283331
30,Coastal Carolina,Sun Belt,16,12,30,0.37902700092513375,1.187475393722805,0.5642652856935744,7.055869733352147
31,Wake Forest,ACC,24,36,27,1.1481357670445504,0.6587654223249017,1.2960778710345837,59.39799195292016
32,Elon,CAA,18,32,25,1.4048051527803285,0.9563955628614095,1.261120080141097,56.897672881992534
33,South Fla.,The American,16,21,24,0.862160783953984,0.9454182393819113,0.9403896405036427,33.95776694526052
34,FIU,The American,18,24,22,0.9159311496371467,0.9687389363060953,0.962466631239914,35.536800389758774
35,UAB,AAC,15,18,22,0.6512029912750412,1.2076001070928575,0.7219572738367754,18.33462262961717
36,Creighton,Big East,18,34,24,1.2580102723522535,0.8686212767251311,1.2153060506672535,53.620872813060416
37,Bellarmine,ASUN,16,19,19,0.8986400930977138,0.81854744216683,1.0278545707174056,40.21360369756435
38,Michigan,Big Ten,21,26,25,0.8105999398353831,0.7955762184491924,0.9891402013242583,37.44459931718004
39,Lehigh,Patriot,19,23,33,0.7207421810018145,1.1312311529156343,0.7860423598925426,22.918240722519243
40,West Virginia,Sun Belt,22,39,23,1.2489043481581503,0.6595491192007111,1.3558175299511848,63.6708079593721
41,Dayton,Atlantic 10,20,53,21,1.7985739385197723,0.7476121435538807,1.6141811511695627,82.14999308106681
42,Colgate,Patriot,20,25,29,0.7179794985816998,0.941788742511964,0.8555113998519072,27.886940431796237
43,South Carolina,Sun Belt,17,35,19,1.273832342245052,0.7290074894736667,1.312990613291677,60.60765797947029
44,Virginia Tech,ACC,17,30,18,1.3461840106428546,0.6247481682593496,1.4479683860360817,70.2618006102923
45,Virginia,ACC,21,35,25,1.2698161184659575,0.7155069108738293,1.3209338870347926,61.1757922441904
46,Providence,Big East,22,27,22,0.8154393852052413,0.6423587853910806,1.111968588379193,46.229769968851706
47,Mount St. Mary's,MAAC,18,18,33,0.6496977539027387,1.3815969474316696,0.6793386898197102,15.286373421923269
48,Duquesne,Atlantic 10,17,22,17,0.798481425509127,0.7035009997583297,1.047673690490373,41.631145306195634
49,Butler,Big East,17,28,35,1.0125309633229973,1.3187782465973577,0.9108296168527263,31.843517475188065
50,Navy,Patriot,16,17,23,0.6133340100581899,1.0035196449885957,0.7665974858205774,21.52746664237051
51,American,Patriot,19,25,27,0.795113407462325,0.9547387507816578,0.8960308232192387,30.785049391170038
52,UMBC,America East,19,28,23,1.015391456319087,0.7401602342107476,1.149658394958501,48.925493576128495
53,Georgia St.,Sun Belt,17,21,28,0.8975146696578773,1.220387863622096,0.8662734509881435,28.656684772341613
54,Rhode Island,Atlantic 10,17,19,21,0.755722847630559,0.8676109379486645,0.9144698510522187,32.10388138145909
55,Marshall,Sun Belt,24,46,20,1.2726953945890016,0.5398465684230259,1.5045685058676255,74.31006439969454
56,Kentucky,Sun Belt,18,30,24,1.308732379995598,0.815304428349788,1.2758537140127282,57.95148048286609
57,UConn,Big East,18,22,13,0.92646207849081,0.4472288491506554,1.4502739318335207,70.42670233831618
58,California,ACC,18,27,23,1.2185596334554798,0.8093128663278695,1.2253822163309214,54.34155991961865
59,NJIT,America East,18,23,26,0.7942316862713983,0.8062134216782575,0.9726855521755976,36.267697916368554
60,Liberty,OVC,17,34,20,1.2301875428082523,0.8156080413503288,1.2285441787836089,54.56771594435432
61,Saint Joseph's,Atlantic 10,17,14,39,0.5170925736276311,1.5513022180856053,0.5681034318007081,7.330389079780905
62,Bradley,MVC,16,19,23,0.8763977611890078,0.9771359278290132,0.9351982847937215,33.58646071126439
63,Wisconsin,Big Ten,15,28,18,0.9904766132578884,0.7915392575328926,1.0996304549063205,45.347298003850575
64,Houston Christian,OVC,20,28,19,0.8765682509579935,0.6625901969283139,1.1296323451265877,47.493151513592466
65,Sacramento St.,Big West,18,26,32,1.0044329226112898,1.0590669152437089,0.980350713639824,36.81594049408577
66,Memphis,The American,17,22,24,0.7989622566098181,0.9283047739524697,0.9102703227663298,31.803514556389935
67,Ohio St.,Big Ten,22,51,19,1.9742809100841436,0.5889459465811824,1.8637480230839742,100.0
68,Notre Dame,ACC,17,35,22,1.5421650601965011,0.7963303107068416,1.4276031612050777,68.80519941418594
69,Saint Mary's (CA),WCC,17,21,34,0.8219143171460825,1.2879402590755187,0.80372200173386,24.18275843182485
70,Northwestern,Big Ten,17,21,19,0.7254384299394367,0.6710990946901819,1.03130022023202,40.460050139771546
71,Pittsburgh,ACC,20,38,18,1.5796081194900595,0.5393771844732448,1.6893609412249329,87.52714815921564
72,Furman,SoCon,19,27,20,0.9074341577099792,0.5923244279035605,1.2197660892571887,53.93987236247318
73,UCF,Sun Belt,16,27,21,1.1081122633806568,0.895723738939953,1.1114336179260955,46.19150677223445
74,UIW,OVC,18,23,21,0.8217361016694456,0.805504277502278,0.9896249954071991,37.47927370191857
75,Central Ark.,ASUN,18,32,24,1.2724939693893496,1.065401670702434,1.138941634818049,48.15898862621984
76,Drake,MVC,17,27,18,1.2517327805851908,0.6133156646804744,1.4032323694920388,67.06210427755734
77,ETSU,SoCon,17,19,25,0.688608180869356,0.7933827595803334,0.9173351783817545,32.30882089231998
78,SIUE,OVC,20,30,21,0.8864535342055213,0.7258935358786018,1.082917115731668,44.15189407216072
79,UIC,MVC,17,25,34,1.080397533934696,1.3047963036675398,0.9547997812071845,34.98843703896284
80,SMU,ACC,21,38,28,1.6771283752263457,0.8991715414924699,1.4511309618341028,70.48800050390513
81,UCLA,Big Ten,19,30,21,1.3340814113990627,0.7136909725424073,1.3609155129303165,64.03543580741963
82,Grand Canyon,WAC,18,16,23,0.535580994428842,0.8393094455964498,0.7979308656865101,23.76855354268744
83,CSUN,Big West,17,19,29,0.8256282321099422,0.9765647267591144,0.9049760052976288,31.424844091346188
84,UC San Diego,Big West,18,22,30,0.8063939086973955,1.0399977071896063,0.8684525777685292,28.81254451369566
85,San Diego,WCC,20,33,14,1.038772849843677,0.4879016294163878,1.44310110310874,69.9136733397816
86,UC Santa Barbara,Big West,23,40,26,1.1460795159978132,0.713091129068194,1.248585833345488,56.0011741187193
87,Pacific,WCC,16,15,21,0.6158644533766265,0.87343586691989,0.8274801722910977,25.882036487340677
88,Gonzaga,WCC,18,29,30,0.9008719112502788,1.1077010472766877,0.9016314087522757,31.185625356032364
89,Stanford,ACC,20,31,20,1.1169743439782032,0.6007094437747517,1.3360639331484108,62.257952811977944
90,Oregon St.,WCC,18,36,21,1.193731251419644,0.7984578225931052,1.2172044733754173,53.75665549213091
91,CSU Bakersfield,Big West,17,25,21,1.0096651504907388,0.6908624510005015,1.1847855432717664,51.43792575762899
92,San Francisco,WCC,17,26,21,1.0217813097752446,0.672995762294176,1.2074261687949286,53.05727258494354
93,UNLV,WAC,17,21,23,0.7526367519766288,0.9502770692230602,0.8725119178058645,29.102884522355083
94,UNC Asheville,Big South,15,26,15,1.3027868488491725,1.0340013781371418,1.1685187890698734,50.274463344428746
95,Monmouth,CAA,16,21,12,0.9295868024760954,0.5054197372007819,1.3491734893937875,63.19559997599886
96,Bowling Green,MVC,20,40,24,1.430495950620167,0.8092875219836794,1.3525594848762839,63.437779726565935
97,Charlotte,The American,19,27,16,0.90461193301668,0.3971445639418242,1.549957075819016,77.55643392565733
98,Campbell,CAA,18,23,17,0.9512365235850317,0.6372142390802814,1.1984742770959167,52.41699798623918
99,Saint Louis,Atlantic 10,21,29,19,0.9225770964944673,0.6064766180189891,1.2130935316342408,53.46262472610642
100,San Diego St.,WAC,18,25,22,0.768521475634224,0.8805347876825326,0.9153822743875883,32.169141496811775
101,Portland,WCC,18,32,23,1.0064828910390813,0.8563064504108366,1.0710122230831456,43.30040919952844
102,Presbyterian,Big South,16,30,28,1.3958881815168702,1.5852509231183687,1.089858893501353,44.64839739517015
103,Stonehill,NEC,18,30,38,1.1782805580439075,1.7478747942698905,0.9358176787904154,33.630762212668486
104,Binghamton,America East,19,23,28,0.9190146544768657,0.8212039417281489,1.0384985150737598,40.97490057542409
105,Lindenwood,OVC,20,36,24,1.1287265488894782,0.8066315021946422,1.1731253148978513,50.60394023882141
106,NIU,MVC,16,20,43,0.8850261426470442,1.8351932024669462,0.7489763882882488,20.26713625293031
107,UAlbany,America East,18,21,39,0.8760160670277546,1.4350864389833604,0.8043384952418362,24.226852478836932
108,UC Davis,Big West,22,33,26,1.0514859162669123,0.6966643639495017,1.205056126992627,52.887757848293106
109,Cleveland St.,Horizon,17,30,29,1.276029316718489,1.2227554773671752,1.0927475905944735,44.85500840368809
110,Penn St.,Big Ten,16,21,33,0.8446305837996606,1.3060300766257609,0.8130500106028372,24.84993441385269
111,San Jose St.,WAC,21,22,29,0.6574232789733518,0.8832233342700685,0.8473405527804173,27.302529225129117
112,Winthrop,Big South,18,18,42,0.7162754781083893,2.0367303311674414,0.6261584931127759,11.482716021855545
113,New Hampshire,America East,17,23,13,0.9639590131859277,0.49274154037363516,1.390160019569605,66.12711825648728
114,USC Upstate,Big South,17,20,57,0.8428708616301945,3.0871429717813266,0.6352921558501363,12.135991602089598
115,Belmont,MVC,17,16,20,0.6974722427523801,0.7668767562478294,0.9400795431383853,33.93558755873808
116,Akron,Big East,21,46,21,1.3707166000148998,0.6338172177192453,1.453526731787051,70.65935541935626
117,Omaha,Summit League,17,23,21,1.2018313839058485,0.8595899189148855,1.1864370005548877,51.55604449552039
118,LMU (CA),WCC,17,13,24,0.5072242543047911,0.8490636727744815,0.7754417413911319,22.16004268067319
119,Syracuse,ACC,17,25,25,1.1855482441280931,0.8426744327838975,1.1860081160804024,51.52536898647442
120,St. John's (NY),Big East,20,33,21,1.0079392240478522,0.6778478299769389,1.1948664783499279,52.158953991521386
121,Northern Ky.,Horizon,16,17,21,0.7608279983886923,1.063292419631189,0.8326868222243362,26.25443662450569
122,North Carolina,ACC,18,32,17,1.6258863629850686,0.5843360610268566,1.6600694095615678,85.43210229496917
123,Maryland,Big Ten,20,33,30,1.0866863674762075,0.9658836502961186,1.0661403750765066,42.95195541654269
124,Bryant,America East,20,29,13,1.0300370458191492,0.42782523201687384,1.5529834454502836,77.77289181705528
125,Stetson,ASUN,17,23,26,0.9760434041314616,1.1518214840155874,0.9329020792180795,33.42222703273931
126,Longwood,Big South,18,27,40,1.0994045802900452,2.121703754597767,0.8481704816680145,27.361889012236247
127,VCU,Atlantic 10,17,17,20,0.6713248009743074,0.7839136297856418,0.91305517559869,32.002698213838215
128,La Salle,Atlantic 10,18,23,21,0.8985304655441482,0.8473838844457622,1.0111593546197994,39.01949599981849
129,Michigan St.,Big Ten,17,14,18,0.6075957718460939,0.5999622391117123,1.0312660889575582,40.457608936415426
130,Missouri St.,MVC,18,35,15,1.4758632469483954,0.569142239366891,1.588329956016068,80.30101365197484
131,Washington,Big Ten,21,26,22,0.8503415991806733,0.6053646217354316,1.1709637578228782,50.449337152089726
132,Northeastern,CAA,16,22,17,0.9245972579467941,0.7158044286787224,1.113570208919839,46.34432418637557
133,Holy Cross,Patriot,18,19,22,0.5296259965111257,0.8177986009476909,0.8068935782217156,24.409602090271488
134,High Point,Big South,17,31,14,1.3302360557271267,0.7371903995749948,1.3407422970241472,62.59256784686055
135,Lafayette,Patriot,18,25,22,0.8113339159323106,0.8057646948763572,0.983223191790491,37.02139145987532
136,Tulsa,AAC,15,14,27,0.43800322900480215,1.4322495850158075,0.5420828701291318,5.469295889369588
137,Green Bay,Horizon,20,31,30,1.0885122743598856,0.9850902446350707,1.05916153293041,42.452801103158144
138,Saint Peter's,MAAC,16,13,34,0.5409970244097114,1.5933328073263913,0.5756443226282508,7.869743331465079
139,Jacksonville,ASUN,15,16,18,0.7773953931719619,0.8230937672355609,0.9524085989757445,34.817410255446994
140,Wright St.,Horizon,18,38,42,1.5490979809747767,1.5721683205237755,1.1838844723861641,51.37347761425535
141,Fla. Atlantic,The American,16,31,18,1.1762223486607346,0.6499750395750641,1.3211416566600804,61.19065274719099
142,Stony Brook,CAA,16,22,34,1.0513983903810713,1.3528853193894845,0.9265034148433335,32.9645693216617
143,Queens (NC),ASUN,18,18,32,0.6919773686389732,1.2715574550969726,0.7297612745623017,18.8927955388556
144,Loyola Maryland,Patriot,17,19,32,0.6612391246504741,1.1713646224292493,0.73822553113791,19.498192550403072
145,Canisius,MAAC,16,23,35,0.9175788214670422,1.5192062502013923,0.8138426814734294,24.906629360645788
146,Seton Hall,Big East,18,22,18,0.8143150564844046,0.5781047873860212,1.180505116801241,51.13177277534909
147,Central Conn. St.,NEC,16,11,43,0.47302368829122077,2.200212568971215,0.4656148288066081,0.0
148,North Florida,ASUN,19,33,37,1.0830172495809205,1.4658310305376085,0.9226930979417706,32.692040429767935
149,Indiana,Big Ten,21,41,24,1.3589278835826493,0.7363508685325217,1.35857602558841,63.86810644627706
150,Air Force,WAC,17,11,44,0.41911075382615104,1.8140515961995316,0.47196734699902027,0.45435715412618527
151,Utah Valley,WAC,18,25,20,0.8864864724979552,0.8568707576000831,0.9987067402927159,38.12883591263561
152,Oral Roberts,Summit League,16,26,18,1.3295226230113149,0.7015571353512553,1.3678738356644753,64.53312249153811
153,Kansas City,Summit League,22,49,30,1.9204592430745206,0.9575612094183976,1.5700034112445143,78.9902268938487
154,UC Irvine,Big West,19,24,24,0.8330530067242659,0.7765573632268419,1.014925754516045,39.28888377429246
155,UC Riverside,Big West,16,18,24,0.7886211766794817,0.9167606793925076,0.9094915937953507,31.7478167892411
156,Quinnipiac,MAAC,17,27,23,0.9129457856869831,1.0687867347520938,0.9220236134411048,32.64415625797329
157,Georgetown,Big East,21,28,17,0.9031484561791068,0.5027772084674127,1.3374700850649546,62.35852634261862
158,Drexel,CAA,17,32,26,1.4804053529549455,1.0202796684826714,1.2802925805454213,58.26896572324674
159,Yale,Ivy League,16,17,24,0.668591524747839,0.9595775931683348,0.8180049985186226,25.204334691027025
160,Brown,Ivy League,17,28,23,1.069976631147974,0.8891779060733425,1.091839711297168,44.79007329585849
161,UNCW,CAA,20,23,33,0.900854379209667,0.9912387598878816,0.9440480986823597,34.21943430239726
162,George Mason,Atlantic 10,18,36,19,1.3077325116034024,0.786209394374988,1.2934098203948738,59.20716244893368
163,IU Indy,Horizon,17,15,23,0.6482535676289229,1.035148610229032,0.7753700868000686,22.154917661729602
164,Duke,ACC,19,44,20,1.7965978959100601,0.6334777649655581,1.7093936862087533,88.95996908542035
165,Bucknell,Patriot,20,19,21,0.5153319817316679,0.7089424521924208,0.8734198796789685,29.16782553633146
166,Harvard,Ivy League,15,14,23,0.6585977006106786,0.8685329644838349,0.8557053311498236,27.900811163047752
167,Cornell,Ivy League,19,44,20,1.5036023771855465,0.7231608093960662,1.455288745716333,70.7853816045934
168,James Madison,Sun Belt,19,26,16,0.9766908867188131,0.4897348917864861,1.4027829647252594,67.02996107627874
169,Fairfield,MAAC,17,20,34,0.8003324500438604,1.4564003285258902,0.7548492295501031,20.68718502123738
170,California Baptist,WAC,19,25,25,0.7216459102579267,0.9533517843670135,0.8525598452359221,27.675833605346085
171,Saint Francis,NEC,16,28,30,1.269367777394943,1.4609387914251837,1.0354172158528312,40.75451390314275
172,Fordham,Atlantic 10,19,36,27,1.340169524977692,1.0399711309107083,1.1887277763367199,51.71988981377823
173,Merrimack,MAAC,16,17,32,0.7020192205141502,1.5611982973801406,0.6774249810877023,15.149497426142549
174,Gardner-Webb,Big South,20,35,24,1.2722281020597936,1.0515372028628904,1.143732342167002,48.50163890936608
175,Western Ill.,OVC,20,24,37,0.7849036969280989,1.0916348137951597,0.8373651234591981,26.5890471790659
176,Old Dominion,Sun Belt,17,21,23,0.9804587910090072,0.7307861783937368,1.1356310016652638,47.92219908668699
177,Penn,Ivy League,19,31,16,1.0587027733720078,0.5717519950033036,1.3348256942595815,62.169389083293346
178,Evansville,MVC,21,35,33,1.3226931304754688,0.9062029309844244,1.2350181142783527,55.03075734278775
179,Cal St. Fullerton,Big West,20,37,33,1.2829033826199867,0.9714971601100919,1.1814776644498863,51.20133321870498
180,Rider,MAAC,20,30,14,0.9778240671311954,0.4870992369201401,1.4078823413913195,67.3946886063118
181,DePaul,Big East,17,32,37,1.3500762531997013,1.3829961771761572,1.0992728709829638,45.321722191415795
182,Detroit Mercy,Horizon,16,23,39,1.0589827355985355,1.5367305084582248,0.8956825149621273,30.76013701096642
183,Massachusetts,Atlantic 10,22,43,23,1.3912400356407593,0.6710935550468959,1.4307861037317493,69.03285601655398
184,Army West Point,Patriot,17,18,26,0.6370387322657225,1.0612316929406975,0.7591437579048143,20.99434662588913
185,Davidson,Atlantic 10,18,25,29,0.9159916939637376,1.1665182726727368,0.8924957744465379,30.532208761452505
186,Col. of Charleston,CAA,18,37,30,1.6780426009087432,1.045044058900356,1.3895845424209945,66.08595786125697
187,William & Mary,CAA,16,23,25,1.1392659320606144,1.1077310486533218,1.044658041116319,41.41545416987207
188,UTRGV,WAC,16,22,23,0.7772339796364838,0.9181071671690788,0.9020193741831977,31.213374173706526
189,Dartmouth,Ivy League,16,25,31,0.9935431397197103,1.3217140094990372,0.8987632146955657,30.980480805538207
190,Mercer,SoCon,18,23,15,0.8246697205835976,0.39622963064963856,1.504317449201376,74.29210783680932
191,Lipscomb,ASUN,16,22,33,0.9344028923961247,1.4250465469016171,0.8413343211428177,26.872939851084972
192,Loyola Chicago,Atlantic 10,16,24,28,1.0408972846587266,1.2121888211439698,0.9545199652654035,34.96842349927105
193,Cal Poly,Big West,19,19,13,0.6755379026074623,0.3812800648006832,1.4544203391771475,70.72326974409685
194,Princeton,Ivy League,19,30,22,1.090375736056282,0.758317012200812,1.181709321810883,51.21790226677171
195,Seattle U,WAC,20,43,22,1.2932723796803045,0.7953194041503526,1.2789060165500277,58.169793197977405
196,Vermont,America East,24,48,19,1.3866633562237691,0.448322643964493,1.724212594873464,90.01987587580092
197,Radford,Big South,16,12,37,0.5538612016708238,1.9080740747370089,0.5419521881450015,5.459948998482137
198,Manhattan,MAAC,16,21,21,0.89209146427159,0.9810868570870498,0.9429659768317068,34.14203667997601
199,FGCU,ASUN,17,17,28,0.5949688774778902,1.187538789084681,0.6938124293329055,16.321592353312433
200,Marist,MAAC,18,26,36,0.9772962631973388,1.4792068491542674,0.8567929471319327,27.97860174741845
201,Chicago St.,NEC,15,16,40,0.7390573385703709,2.0870344213065986,0.6350939157580126,12.12181268888339
202,Purdue Fort Wayne,Horizon,16,20,19,0.9368242185125514,0.7798759596827491,1.0749966087183327,43.58538817374173
203,Santa Clara,WCC,16,13,20,0.5457027437976447,0.7784360033722497,0.841272493704922,26.868517708892163
204,Utah Tech,WAC,18,17,29,0.5866761460120236,1.0193252751839137,0.7444221318358037,19.941397870415265
205,Iona,MAAC,19,35,22,1.2173181421248067,0.8019508335879177,1.2291745802931997,54.61280474649214
206,Wofford,SoCon,17,18,17,0.6761895088694805,0.6268557653424776,1.0438190273353787,41.355444595364105
207,Columbia,Ivy League,14,9,26,0.4435259920658172,1.22084311954987,0.5937580200479142,9.165306407558525
208,Southern Ind.,OVC,18,10,42,0.35701034030893286,1.547645871851402,0.47266326291901695,0.5041318052713768
209,Denver,Summit League,23,44,18,1.5338248418964642,0.5235117552406727,1.684365617964774,87.16986293913756
210,Howard,NEC,16,22,42,0.9973603965245978,1.8784338547498924,0.8113595890945419,24.729028800910065
211,Mercyhurst,NEC,17,24,21,1.1412547844931078,0.5620125852448002,1.3964807047367498,66.57919858710353
